C | values | When a friend lands their dream job, what do you think mostly got them there? | talent; hard_work; connections; timing; luck; a_mix=no single factor stands out
S | personality | How do you respond to a sudden run of small mishaps in one morning? | I keep going as normal ; I laugh about my clumsy morning ; I slow down and pay more attention ; I expect more mishaps to follow ; I try to undo the bad luck with a ritual
S | values | How much do you believe you can earn good luck by being a good person? | Being good has nothing to do with luck ; Being good helps through the goodwill of others ; Being good attracts some good fortune ; Being good reliably brings good fortune
S | personality | How do you respond when you get the exact thing you were hoping for by pure chance? | I call it a coincidence ; I call it lucky and move on ; I feel grateful to the universe ; I feel it proves my wishes are heard
N | personality | Do you have a lucky seat that you try to sit in whenever you can?
N | personality | Have you ever worn the same clothing again because you did well the last time you wore it?
N | values | Do you think luck matters more than talent in getting a first job?
N | evaluative | Do you think a psychic could know something about you that they could not have guessed?
N | personality | Have you ever made a decision based on a sign you noticed?
N | personality | Have you ever made a wish on a shooting star?
N | evaluative | Do you think some houses are genuinely haunted?
N | personality | Do you read the fortune in a fortune cookie before eating the cookie?
N | values | Do you believe that bad people eventually get what they deserve?
N | personality | Have you ever felt that someone was watching over you during a close call?
N | personality | Would you stay a night alone in a house said to be haunted?
N | evaluative | Do you think astrology is a science?
N | social | Would you give a lucky charm to a friend going into surgery?
N | personality | Do you believe you are a lucky person?
N | personality | Have you ever kept a coin or object because you found it at a lucky moment?
N | evaluative | Do you think tarot readings can give useful advice?
N | personality | Would you let a coin toss decide a big life decision?
N | values | Do you believe your life would be very different if one chance event had not happened?
N | personality | Do you know your rising sign?
N | personality | Do you know your Chinese zodiac animal?
N | social | Would you think less of a friend who consults a psychic regularly?
N | evaluative | Do you think people who believe in luck are happier?
N | personality | Have you ever felt a strong sense that you had been somewhere before when you had not?
N | personality | Have you ever blown out birthday candles and kept the wish a secret so it would come true?
N | values | Do you believe that meeting your best friend was meant to happen?
N | personality | Would you buy a house on a street with a number some consider unlucky?
N | evaluative | Do you think lucky streaks in sports are real?
N | personality | Have you ever changed your route because of a bad feeling?
N | personality | Do you get uneasy when someone opens an umbrella indoors?
N | social | Would you date someone who makes big choices based on astrology?
N | personality | Have you ever thrown a coin into a fountain and made a wish?
N | evaluative | Do you think ghosts can communicate with the living?
N | personality | Do you think you have a sixth sense?
N | personality | Would you consult a fortune teller before a big move?
N | values | Do you believe hard work always pays off in the end?
N | personality | Have you ever felt a coincidence was too perfect to be chance?
N | social | Would you tell a friend if you thought their success was mostly luck?
N | evaluative | Do you think that saying something bad out loud can make it more likely to happen?
N | personality | Have you ever had a lucky break that changed the course of your career?
N | values | Do you think luck is the main reason some people find lasting love?
N | personality | Would you wear a piece of jewelry to ward off the evil eye?
N | evaluative | Do you think a curse can really harm someone?
N | personality | Have you ever felt certain something was a sign, only for it to mean nothing?
N | social | Would you refuse to sit in a friend's lucky seat if they asked you to move?
N | values | Do you think it is fair that luck decides so much in life?
N | personality | Have you ever pulled a wishbone with someone?
N | personality | Would you carry an item of clothing that brought you luck into a job interview?
N | personality | Have you ever felt that a stranger you met by chance was meant to cross your path?
N | personality | Would you feel uneasy if a fortune teller refused to read your fortune?
N | values | Do you think you would have succeeded without any luck?
N | personality | Do you believe you have ever experienced something paranormal?
N | social | Would you share a superstition with your children?
N | evaluative | Do you think crystals can change a person's luck?
N | personality | Have you ever avoided an activity because of a bad omen?
N | personality | Do you believe you were born at the right time for your life to go well?
N | values | Do you think a lucky person should feel humble about their success?
N | personality | Would you wish on a dandelion as an adult?
N | evaluative | Do you think serendipity plays a big role in great discoveries?
N | personality | Have you ever had a strange coincidence you still cannot explain?
N | social | Would you be comfortable if a friend placed a protective charm in your home?
N | personality | Do you believe your intuition has saved you from a bad situation?
N | personality | Would you name a pet after something you consider lucky?
N | evaluative | Do you think lucky charms work for people who believe in them?
N | personality | Have you ever felt that bad luck was following you?
C | personality | What do you do when a ladybug lands on you? | make_a_wish; let_it_walk_off_on_its_own; gently_brush_it_away; count_its_spots; feel_nothing_special
C | evaluative | Which best explains why a gambler keeps playing after a near win? | hope_that_luck_is_turning; the_thrill; belief_they_are_due_a_win; habit; other
C | values | Which thought comforts you most when plans fall through? | something_better_is_coming; it_was_not_meant_to_be; i_can_try_again; it_was_bad_luck_this_time; none_of_these
C | taste | Which lucky ritual for a new home appeals to you most? | carrying_in_bread_and_salt; burning_sage; hanging_a_horseshoe; stepping_in_right_foot_first; a_housewarming_blessing; none
C | social | When a friend narrowly misses a disaster, what do you tell them? | you_were_so_lucky; someone_was_looking_out_for_you; good_thing_you_were_careful; it_was_not_your_time; i_just_hug_them
C | evaluative | Which is the most likely reason a lucky charm seems to work? | it_boosts_confidence; people_remember_only_the_hits; it_carries_real_power; it_is_pure_coincidence; not_sure
S | personality | How do you react when a friend tells you a place gives them a bad feeling? | I tell them it is all in their head ; I listen but stay put ; I pay closer attention to the place ; I suggest we leave soon ; I leave straight away with them
S | evaluative | How much do you think luck shaped which city or town you ended up living in? | Not at all, I chose it deliberately ; A little, a chance offer tipped the scales ; About as much as my own choice ; Mostly, I ended up here by chance ; Entirely, I just drifted here
S | personality | How do you respond when you get a lucky seat upgrade or free extra? | I take it without a thought ; I enjoy it quietly ; I tell a friend about my luck ; I take it as a sign the day will go well ; I expect a stroke of bad luck to balance it
S | values | How much do you believe that people you meet by chance are sent for a reason? | Every meeting is simple chance ; A few meetings feel special but are still chance ; Some people seem to arrive exactly when needed ; Most important people in my life were sent for a reason ; Everyone I meet was sent for a reason
S | personality | How do you act after hearing a fortune teller's warning about a certain day? | I forget it immediately ; I remember it but act normally ; I am a little more careful that day ; I avoid anything risky that day ; I stay home all day
S | social | How do you react when a group decides something by drawing straws and you lose? | I accept it immediately ; I accept it with a joke ; I ask for a redraw ; I argue that it was unfair
N | personality | Have you ever gone back into your home because you forgot your lucky item?
N | values | Do you think your biggest opportunities came to you by chance?
N | evaluative | Do you think some objects can carry bad luck with them?
N | personality | Would you keep a gift you were told was cursed?
N | social | Would you tell a friend their new home has bad energy if you felt it did?
N | personality | Do you feel lucky to have been born in the place you were born?
