C | personality | What is your earliest clear memory mostly about? | a_place; a_person; a_toy_or_object; an_event=a party, trip, or holiday; a_feeling=being scared, happy, or lost; none=I have no clear early memory
S | personality | How much did your family's money situation growing up shape you? | My family's money situation had no effect on me ; It shaped a few of my spending habits ; It shaped how I think about work and security ; It shaped nearly every major choice I have made
S | personality | How clearly do you remember the moment you met your closest friend? | I have no memory of meeting them ; I remember roughly where we met ; I remember where we were and what we did ; I remember our first conversation almost word for word
S | personality | How often do you reread old messages or letters? | I never reread old messages ; I stumble on them now and then and read a few ; I sometimes go looking for old messages to reread ; I regularly reread old letters and messages
S | personality | How much did a single trip change the way you live now? | No trip has changed how I live ; A trip gave me a new habit or taste ; A trip changed some of my values ; A trip changed where or how I live
S | personality | How much did being teased or bullied affect you growing up? | I was not teased or bullied ; I was teased a bit and shrugged it off ; Being teased made me more guarded for years ; Being bullied shaped much of who I became
S | personality | How much did you help at home as a child? | I did almost no chores ; I did small chores when asked ; I had regular chores every week ; I carried a large share of the household work
S | personality | How much do your memories of a place change when you revisit it? | Revisiting a place leaves my memories unchanged ; Revisiting makes the place feel a bit smaller ; Revisiting shows me I misremembered a lot ; Revisiting changes the memory completely
S | evaluative | How fondly do you remember your teenage years? | I would never want to relive my teenage years ; I remember a few good times among many bad ones ; I remember them as mostly good ; I remember them as the best years of my life
S | personality | How much does your past explain your current fears? | None of my fears trace back to my past ; One fear comes from something that happened to me ; Several of my fears come from my past ; Almost all my fears trace back to specific experiences
S | personality | How much did your parents' work shape your own career choices? | My parents' work had no influence on my career ; I learned what I did not want from their work ; I picked up some interests from their work ; I ended up in the same line of work as a parent
S | personality | How often did your family eat dinner together when you were a child? | We almost never ate together ; We ate together on special occasions ; We ate together a few nights a week ; We ate together nearly every night
S | personality | How much of your life so far has gone according to plan? | My life has gone nothing like I planned ; A few things went as planned ; Most of the big things went as planned ; My life has gone almost exactly as I planned
S | personality | How much did a mentor shape your early adult life? | I never had a mentor ; Someone gave me useful advice once or twice ; A mentor guided several of my big decisions ; A mentor shaped the whole start of my adult life
S | personality | How much did the first time you lived away from home change you? | Living away from home changed nothing about me ; I picked up some practical skills ; I became noticeably more independent and confident ; I came back a different person
S | personality | How detailed is your memory of your own wedding, graduation, or similar big day? | I remember almost nothing of the day ; I remember a few highlights ; I remember most of the day clearly ; I can recall the day almost minute by minute
S | personality | How much did your birth order among siblings shape your personality? | Birth order had no effect on who I am ; It shaped a few habits ; It shaped how I act in groups ; It shaped my whole personality
S | personality | How often do you catch yourself saying something your parents used to say? | I never hear my parents in what I say ; It happens once in a while and surprises me ; It happens most weeks ; I sound like my parents all the time
S | personality | How much did one kind act from someone in your past shape you? | No single kind act stands out in my life ; A kind act gave me a good memory ; A kind act changed how I treat others ; A kind act changed the course of my life
N | personality | Do you have a clear memory from before you started school?
N | personality | Is there a single experience you would call the turning point of your life?
N | personality | Did you have an imaginary friend as a child?
N | personality | Do you still own something you had as a young child?
N | personality | Do you have a childhood memory you are not sure really happened?
N | personality | Did you grow up in the same home the whole time?
N | personality | Is there a mistake from your teens you still think about?
N | personality | Did a teacher ever change the way you saw yourself?
N | personality | Have you ever gone back to visit your old school?
N | personality | Do you keep a journal or diary of your life?
N | personality | Is there a conversation from years ago you still replay in your head?
N | personality | Did you have a best friend in early childhood?
N | personality | Do you remember the name of your first teacher?
N | personality | Is there a smell that instantly brings back a specific memory for you?
N | personality | Do you have a recurring dream that comes from something in your past?
N | personality | Have you ever cried at an old photo of yourself?
N | personality | Is there a moment from your past you wish you could redo?
N | personality | Did you have a nickname as a child that you disliked?
N | personality | Were you afraid of the dark as a child?
N | personality | Did you ever run away from home, even for an afternoon, as a child?
N | personality | Have you ever returned to your childhood home after moving away?
N | evaluative | Do you think your childhood prepared you well for adult life?
N | personality | Did you spend a lot of time with your grandparents growing up?
N | values | Is there someone from your past you never got to thank properly?
N | values | Is there someone from your past you still owe an apology?
N | personality | Did you have a pet as a child?
N | personality | Did a move to a new place change the direction of your life?
N | personality | Has a stranger ever changed your life in a lasting way?
N | personality | Do you remember your first day at your first job?
N | personality | Were you a shy child?
N | personality | Did you like school as a child?
N | personality | Do you remember your dreams for the future from when you were a teenager?
N | personality | Have you achieved something your younger self dreamed about?
N | evaluative | Would your childhood self be proud of who you are now?
N | personality | Is there a year of school you would gladly erase from memory?
N | personality | Have you ever found a letter or note you wrote long ago?
N | personality | Did you ever write a letter to your future self?
N | personality | Did an injury or illness in your past change your plans?
N | personality | Is there a song you cannot listen to because of a memory?
N | personality | Did your family have a tradition you have carried into your own life?
N | personality | Did your parents often tell you stories about their own childhoods?
N | personality | Did a failure ever turn out to be the best thing that happened to you?
N | personality | Is there a decision you made young that you still defend proudly?
N | personality | Did you have a hero you looked up to as a child?
N | personality | Did you share a bedroom with a sibling growing up?
N | personality | Have you ever been surprised to learn a memory of yours was wrong?
N | personality | Is your happiest memory from your childhood?
N | personality | Do you remember your first kiss clearly?
N | personality | Do you remember what you wanted to be when you grew up at every stage of childhood?
N | personality | Did you experience a big loss before becoming an adult?
N | personality | Did you have to grow up faster than most children you knew?
N | personality | Is there a place from your childhood that no longer exists?
N | personality | Do you have a scar with a story you like to tell?
N | personality | Did you ever win a prize or award as a child that you still remember?
N | social | Have you ever reconnected with an old friend after many years apart?
N | personality | Was there a book that changed your life?
N | personality | Did you change who you were when you started at a new school or job?
N | personality | Is there a moment when you realized you had truly grown up?
N | personality | Do you remember the first time you felt real independence?
N | personality | Has a single piece of advice from your past stayed with you for life?
N | personality | Did your parents divorce or separate while you were growing up?
N | personality | Were you ever the new kid at school?
N | personality | Is there a smell, sound, or taste from childhood you seek out on purpose?
N | personality | Have you ever kept a secret from your childhood that you have never told anyone?
N | personality | Did you break something valuable as a child and hide it?
N | social | Do you and your siblings remember your childhood very differently?
N | social | Do you enjoy hearing other people talk about their childhoods?
N | social | Would you want your children or younger relatives to read your old diaries someday?
N | values | Would you want to see a recording of your entire childhood if one existed?
N | evaluative | Do you think your earliest memories are mostly real rather than reconstructed from photos and stories?
