C | taste | How would you most want to spend your last full day alive? | with_family; with_close_friends; alone_in_nature; traveling_somewhere_new; doing_a_favorite_hobby; eating_favorite_food; at_home_as_usual=an ordinary day at home; other
N | values | Would you want to leave most of your money to a cause rather than to relatives?
N | personality | Have you ever planted a tree hoping it would outlive you?
N | personality | Do you have a favorite age you have been so far?
N | values | Would you want everyone to know your age by looking at you?
N | personality | Do you still have things you have been meaning to do for a long time?
N | personality | Have you ever changed your life after realizing how short it is?
N | values | Is it wise to plan for decades ahead?
N | personality | Do you find the sight of an old building or ruin moving?
N | personality | Do you feel calm when you think about the end of your life?
N | values | Would you want to receive a letter your parents wrote to you before they died?
N | personality | Do you take photos mainly so you can look back on them later?
N | values | Would you rather age in your own home than move somewhere with care?
N | personality | Do you believe your best years are still ahead of you?
N | personality | Do you make a point of marking the first day of each new season?
