C | taste | Which small daily pleasure lifts your mood the most? | morning_coffee_or_tea; a_good_meal; time_outdoors; music; a_long_shower; reading; chatting_with_someone; other
N | evaluative | Do you think the happiness of a whole day can be decided by its first hour?
N | social | Does seeing other people happy make you happier?
N | values | Would you rather live a short, joyful stretch of freedom than a long, comfortable routine?
N | personality | Do you actively look for ways to make your days more enjoyable?
N | evaluative | Is there a simple pleasure you enjoy almost every day?
N | taste | Do you enjoy the feeling of a completely empty schedule?
N | values | Do you think a good life should include time spent alone?
N | evaluative | Do you think your happiest days are still ahead of you?
N | social | Do you feel happier in a neighborhood where people know each other?
N | personality | Do you stop to take in a nice view when you come across one?
N | values | Is feeling useful to others essential to your happiness?
N | evaluative | Do you think it is harder to be happy today than it was for your grandparents?
N | personality | Do you celebrate small wins, not just big ones?
N | evaluative | Would you be happy to live your current week over again?
N | values | Would you choose more free time over more career success?
N | taste | Does a clean, tidy space make you noticeably happier?
N | social | Do you think happiness is contagious between people?
N | personality | Do you tend to wish you were somewhere else?
N | evaluative | Do you think you have found the right balance between ambition and contentment?
N | values | Would you move somewhere with fewer opportunities if it meant a happier daily life?
N | personality | Do you enjoy the quiet anticipation before a trip as much as the trip itself?
N | evaluative | Is there one change that would make your life much better?
N | social | Do you feel happier after a long conversation with someone you care about?
N | taste | Do you feel happier when you have fresh flowers or plants around you?
N | values | Do you think people should aim to feel satisfied rather than happy?
