C | taste | Where would you most like to make a new friend as an adult? | hobby_class = a class, club, or team ; through_existing_friends ; work_or_school ; online_community ; neighborhood ; gym_or_sports ; volunteering ; other
S | personality | How often do you text your closest friend? | Rarely, only for plans ; A few times a month ; A few times a week ; Every day ; Constantly throughout the day
S | values | How acceptable is it to ask a friend to help with a big physical job? | I would never ask ; I would ask only if I pay them ; I would ask and repay with food ; I would ask freely because friends help
S | personality | How willing are you to travel to visit a friend? | I would not travel to visit a friend ; I would take a short drive ; I would take a long drive or train ; I would fly across the country ; I would fly overseas to see them
S | values | How much should friends share when they succeed together? | Each keeps what they earn ; A small thank-you gift is enough ; Credit should be shared publicly ; Rewards should be split equally
S | personality | How easily do you let go of a friendship that's fading? | I fight hard to save every friendship ; I try once or twice to revive it ; I accept it after a while ; I let it go almost immediately
S | personality | How much do you rely on one best friend versus many friends? | I spread my trust across many friends ; I lean on a small handful ; I lean mostly on one or two ; I lean entirely on one best friend
S | values | How acceptable is it for a friend to borrow your car? | Never acceptable ; Only in an emergency ; For short errands ; For a weekend trip ; Anytime they ask
S | personality | How often do you give friends advice they didn't ask for? | I only give advice when asked ; I offer advice only when I see a real danger ; I offer advice when I think I know better ; I give my opinion on almost everything they tell me
S | values | How much should friends match each other's spending when going out? | Everyone should spend what they can ; Plans should suit the one with the least money ; Richer friends should cover more ; Everyone should spend about the same
S | personality | How do you feel about friends of friends joining your plans? | I dislike it and prefer the original plan ; I tolerate it ; I'm fine with it ; I love meeting new people that way
S | social | How much do most people think adults should work at making new friends? | Adults don't need new friends ; Adults should make friends only when it happens naturally ; Adults should make some effort to meet people ; Adults should actively seek new friends
S | personality | How often do you end up as the one listening in your friendships? | I mostly do the talking ; It is roughly balanced ; I mostly listen ; I almost always listen and rarely share
S | values | How long should you wait for a friend who is late before leaving? | I would leave right away ; I would wait a short while ; I would wait about an hour ; I would wait as long as it takes
C | personality | Which way of spending time with friends do you prefer? | one_on_one ; small_group = three or four people ; large_group ; mix_of_both ; no_preference
S | values | How much should friends support each other's side businesses? | Not at all ; With likes and shares ; By buying once in a while ; By buying regularly and promoting them
S | personality | How much do you gossip about friends with other friends? | Never ; Only about harmless news ; Sometimes about their problems ; Often, including their private matters
S | personality | How well do you keep in touch after a friend moves away? | We lose touch quickly ; We talk a few times a year ; We talk every month or so ; We talk every week
S | values | How much should friends remember and ask about each other's problems? | It's fine to forget ; Asking now and then is enough ; Friends should follow up on anything big ; Friends should track and ask about everything
S | personality | How do you react when your friends disagree with your choices? | I change my choice to match theirs ; I feel shaken but keep my choice ; I listen and weigh their view ; I ignore their view entirely
S | values | How much would you risk your own reputation to defend a friend? | None at all ; A little, in private ; A lot, in public ; I would risk everything for them
S | personality | How often do you remember friends' birthdays without reminders? | I rely completely on reminders ; I remember one or two without help ; I remember most close friends' birthdays ; I remember nearly everyone's birthday
S | social | How much do most people expect a best friend to know about their life? | Only the basics ; Their main worries ; Most of what happens ; Everything, with no secrets
S | personality | How much do you change your behavior around different friend groups? | I am exactly the same with everyone ; I shift my tone a little ; I act noticeably different in each group ; I feel like a different person in each group
S | values | How long can a close friendship go without contact and still be close? | A few weeks ; A few months ; A year or so ; Many years
S | personality | How do you handle a friend's bad habit that annoys you? | I put up with it silently ; I tease them about it ; I mention it once ; I keep bringing it up until it changes
S | values | How much should friends share big purchases, like a vacation home or boat? | Never share big purchases with friends ; Only small shared items ; Maybe with a clear written plan ; Sharing big purchases is great
S | personality | How much do you like being the center of attention among friends? | I avoid it completely ; I tolerate it now and then ; I enjoy it sometimes ; I love it and seek it out
S | values | How much should a friend apologize for a small slight? | No apology is needed ; A quick sorry is enough ; A sincere conversation is needed ; A real effort to make it up is needed
S | personality | How do you react to a friend's new partner? | I keep my distance at first ; I am polite but guarded ; I am friendly and open ; I try hard to befriend them right away
S | values | How much should a friend do when you're sick? | A message is enough ; A call to check in ; Dropping off food or medicine ; Staying with me to help
S | personality | How much do you enjoy meeting strangers through friends? | I skip events where I won't know people ; I go but stick to my friend ; I chat with a few new people ; I go hoping to make new friends
S | personality | How much do you tell your friends about arguments with your family? | Nothing ; A vague mention ; The main points ; Every detail
S | values | How much should a close friend be told about your health problems? | Nothing ; Only the diagnosis ; What it means for my life ; Every detail of treatment
S | personality | How do you feel about long phone calls with friends? | I let calls go to voicemail and text back ; I take a call only if it's short ; I enjoy a long call now and then ; I spend hours on the phone with friends regularly
S | values | How much should you change plans when a friend needs you? | I keep my plans ; I shift small plans ; I cancel most plans ; I cancel anything, even travel
S | personality | How often do you feel left out by your friends? | I can't remember the last time I felt left out ; I feel left out when I miss one event ; I often see photos of plans I wasn't told about ; I feel like an outsider in most of my friend groups
S | personality | How do you handle a friend who owes you money and hasn't mentioned it? | I write it off silently ; I wait for them to bring it up ; I gently remind them ; I directly ask for repayment
S | values | How much should friends talk about money with each other? | Never discuss money ; Only in general terms ; Share costs and prices ; Share exact salaries and debts
S | personality | How much do you plan activities with friends in advance? | Everything is last minute ; A few days ahead ; A couple of weeks ahead ; Months ahead
S | values | How acceptable is it for friends to comment on each other's weight or appearance? | Never acceptable ; Only compliments ; Only when asked ; Anything goes between close friends
S | personality | How much do your friendships rely on shared activities? | We just talk ; We sometimes do things together ; We mostly bond through activities ; We only meet for an activity
S | personality | How much do you try to keep friends from different parts of your life separate? | I mix all my friends together ; I mix them now and then ; I keep them mostly separate ; I keep them entirely separate
S | values | How much should you step in when a friend's family treats them badly? | Stay out of it ; Listen and comfort ; Help them plan a response ; Confront the family myself
S | personality | How often do you tell friends you appreciate them? | I never say it out loud ; I say it only in birthday cards ; I say it after they help me with something ; I tell them regularly, even for no reason
S | values | How much of a friend's wrongdoing would you overlook? | None, I call out everything ; Small white lies ; Occasional rudeness to others ; Serious mistakes that hurt others
S | personality | How do you react to a friend's jealousy of your other friends? | I reassure them constantly ; I reassure them once ; I ignore it ; I get annoyed and pull back
S | social | How much do most people think close friends should keep in touch? | A few times a year is enough ; Monthly contact is ideal ; Weekly contact is ideal ; Daily contact is ideal
S | personality | How much do you trust new friends with your keys or home? | Never ; Only after years ; After some months ; Almost right away
S | values | How far should friends go to keep a group together after a fight between two members? | Let the group split ; Invite each separately ; Push them to reconcile ; Make them talk it out
S | personality | How often do you reconnect with childhood friends? | I have no contact with childhood friends ; I see them only at reunions or weddings ; I catch up with one about once a year ; I still see childhood friends regularly
S | personality | How much do you depend on friends for fun on weekends? | I usually spend weekends alone ; I see friends on some weekends ; I see friends most weekends ; Friends fill almost every weekend
S | values | How much should friends go out of their way to attend each other's performances or games? | They don't need to come ; They should come to the big ones ; They should come to most ; They should come to every one
S | personality | How much do you enjoy friends' inside jokes that you weren't part of? | I feel shut out when they come up ; I smile along without getting them ; I ask for the story and enjoy it ; I start using the jokes myself
S | personality | How much do you rely on friends' advice for big life choices? | I never ask ; I ask only for information ; I ask and weigh their views ; I follow their advice closely
S | values | How much should you help a friend who is moving? | Wish them well ; Lend some boxes ; Help pack for an afternoon ; Help for the whole move
S | personality | How do you handle a friend who always turns conversations to themselves? | I keep listening without comment ; I steer it back gently ; I point it out ; I see them less
S | values | How much should you forgive a friend who forgot a big promise? | I would not forgive it ; I would forgive after a real apology ; I would forgive with a brief talk ; I would forgive instantly
S | personality | How fast do new friendships become close for you? | I rarely get close to new people at all ; It takes me years to feel close ; It takes several months of regular contact ; I feel close after a few good conversations ; I feel close to someone after one evening
S | personality | How much do you share photos of your friends online? | I never post friends ; I post friends only at weddings or big events ; I post group photos from most outings ; I post friends almost every time we meet
S | values | How much should friends ask before posting photos of you? | They never need to ask ; They should ask for unflattering ones ; They should ask for anything personal ; They should ask for every photo
S | personality | How much do you rely on social media to know what friends are up to? | I learn everything directly from them ; I check their posts now and then ; I learn most of their news from their posts ; I would know almost nothing without social media
S | personality | How often do you invite a friend you don't know well to hang out? | I never invite someone I don't know well ; I invite them only as part of a group ; I invite them one-on-one if we clicked ; I invite new acquaintances out all the time
S | values | How quickly should a friend reply to an urgent message? | Within the day ; Within a few hours ; Within an hour ; Within minutes
S | personality | How do you react when your friend group changes plans without asking you? | I don't mind at all ; I feel a bit annoyed ; I feel hurt ; I feel betrayed
S | personality | How do you usually find out a friendship has ended? | We had an honest talk about it ; We had a fight and never made up ; I noticed they stopped replying ; I only realized years later that we hadn't spoken
S | values | How much should a friend adjust when you stop drinking? | They don't need to change anything ; They should offer me a non-alcoholic option ; They should suggest some sober activities ; They should mostly stop meeting at bars
S | personality | How do you behave when a friend is grieving? | I avoid them until they seem better ; I send a message once ; I check in regularly for a few weeks ; I stay close for months and keep showing up
S | values | How much should a friend expect you to be at their big life events? | Only if it's easy for me ; For weddings and funerals ; For weddings, funerals, and big birthdays ; For every milestone, big or small
S | personality | How do you respond when a friend asks you to keep a secret you find heavy? | I tell someone right away ; I keep it but it weighs on me ; I keep it without much trouble ; I forget it almost immediately
S | social | How much do most people think a friend should pay back small debts like a coffee? | Small amounts don't need repaying ; Buying the next round evens it out ; They should pay back when they remember ; They should pay back every cent promptly
N | personality | Do you have a friend you could call for help in the middle of the night?
N | values | Is it okay to be friends with your ex's best friend?
N | values | Should friends always be honest about each other's partners?
N | values | Is it acceptable to cancel plans with a friend for a date?
N | personality | Have you ever lost a friend over money?
N | values | Is it okay to stay friends with someone who treated your best friend badly?
N | values | Should you tell a friend if you heard someone badmouthing them?
N | personality | Do you find it hard to make friends as an adult?
N | values | Is it okay to go to a party your close friend wasn't invited to?
N | personality | Have you ever been ghosted by a friend?
N | personality | Have you ever ghosted a friend?
N | values | Should close friends split restaurant bills evenly no matter what each person ordered?
N | values | Is it okay to post a group photo without asking everyone in it?
N | social | Would most people say it's fine to have different friends for different parts of life?
N | values | Is it okay to befriend your friend's ex?
N | personality | Are most of your close friends people you met in school?
N | values | Is it rude to bring an uninvited friend to a friend's party?
N | values | Should friends be able to criticize each other's parenting?
N | personality | Do you have a friend you haven't seen in years but still consider close?
N | values | Is it okay to ask a friend for a discount at their business?
N | values | Should a friend always choose your side in a public argument?
N | personality | Do you tend to be the friend others come to for advice?
N | values | Is it okay to keep a friendship going only out of guilt?
N | social | Would most people say friendships matter as much as family?
N | values | Is it okay to have friends your partner doesn't like?
N | personality | Would you rather have fewer friends if it meant every one was close?
N | values | Is it acceptable to ask friends to pay for their own food at your birthday dinner?
N | values | Should a best friend be the first to know your big news?
N | personality | Have you ever had a falling out with a friend that you later regretted?
N | values | Is it okay to tell a friend they've changed for the worse?
N | values | Should you mention to a friend that their partner seems to be controlling them?
N | personality | Do you keep in touch with friends mainly through a group chat?
N | values | Is it okay to invite a friend's partner without inviting your friend?
N | social | Would most people consider it a betrayal to date a friend's crush?
N | values | Is it okay to secretly be relieved when a friend cancels?
N | personality | Do you have a friend who is much older or younger than you?
N | values | Should you attend a friend's wedding if you think the marriage is a mistake?
N | values | Is it fair to expect friends to travel for your wedding?
N | personality | Have you ever made a close friend through an online game or forum?
N | values | Is it okay to borrow a friend's things without returning them for months?
N | values | Should friends be expected to help each other move?
N | personality | Do you get jealous when your best friend spends time with other friends?
N | values | Is it okay to share a friend's news with others before they announce it?
N | social | Would most people say you can't be close friends with someone you only text?
N | values | Is it okay to rekindle a friendship only when you need something?
N | values | Should old friends forgive each other for things said as teenagers?
N | personality | Do you still talk to anyone from your first job?
N | values | Is it ever okay to read a friend's diary or private messages?
N | values | Is it okay to end a friendship over a single argument?
N | personality | Would you go to a party alone if none of your friends could come?
N | values | Is it fine for a friend to regift something you gave them?
N | values | Should friends pay each other for professional services like haircuts or photos?
N | personality | Do you find it easy to tell friends when you're hurt?
N | social | Would most people say that a true friend tells you hard truths?
N | values | Is it okay to pretend to like a friend's cooking?
N | values | Should friends get each other birthday gifts every year?
N | personality | Have you ever been part of a friend group that split into sides?
N | values | Is it okay for a friend to tell you your partner is wrong for you?
N | personality | Do you have a friend you consider a sibling?
N | values | Is it acceptable to skip a friend's baby shower or bachelor party?
N | values | Should a friend who hurt you have to make the first move to repair things?
N | personality | Would you rather go on vacation with friends than with family?
N | social | Would most people consider it fine to un-invite a friend from a trip?
N | values | Is it okay for friends to compete for the same job or opportunity?
N | personality | Do you have more close friends now than you did when you were in school?
N | values | Should friends keep score of who paid last time?
N | personality | Have you ever reconnected with a friend after a long falling out?
N | values | Is it okay to share a friend's embarrassing story at their wedding?
N | values | Should you tell a friend their business is failing if they haven't noticed?
N | personality | Do you prefer to keep friends and romantic partners completely separate?
N | social | Would most people agree that friendships take more work in adulthood than in school?
N | values | Is it okay to set up two friends on a date without telling them?
N | values | Is it okay to invite yourself to a friend's plans?
N | personality | Have you ever felt closer to a friend than to your family?
N | values | Is it okay to bring up a friend's past mistakes in front of their new friends?
N | values | Should a friend always say yes to being a bridesmaid or groomsman?
N | personality | Do you keep old messages and photos from friendships that ended?
N | values | Is it okay to be friends with someone mainly because they're useful to you?
N | social | Would most people say friends from childhood are the most important?
N | values | Is it okay to tell mutual friends why you ended a friendship?
N | personality | Would you let a close friend move in with you for a few months?
N | values | Is it okay to have a friend you only see when you're drinking?
N | values | Should friends keep lending to someone who never repays?
N | personality | Do you tend to keep friendships going long after they stop feeling good?
N | social | Would most people say it's acceptable to tell a friend you need a break from them?
N | values | Is it okay to ask a friend to change something about how they act around you?
N | personality | Have you ever felt like the backup friend in a group?
N | values | Is it okay to celebrate a holiday with friends instead of family?
N | personality | Do you secretly compare your life to your friends' lives?
N | values | Should friends who live together split chores exactly evenly?
N | values | Is it ever okay to take a friend's side against your own sibling?
N | personality | Have you ever stayed friends with someone mostly because your friend groups overlap?
N | values | Is it okay to stop inviting a friend who always says no?
N | personality | Do you have a friend you met as an adult who now feels like an old friend?
