# self.love.dating_attraction — choice batch A
C | taste | What kind of smile do you find most attractive? | wide_toothy_grin ; shy_half_smile ; crooked_smirk ; smile_with_the_eyes = a warm smile that reaches the eyes ; no_preference
S | values | How acceptable is it to use a dating app while you are in the early stages of seeing someone? | Never acceptable ; Only before the second date ; Fine until you agree to be exclusive ; Fine anytime until the relationship is serious
S | personality | How do you react when you see a crush's name on your phone? | I feel nothing special ; I smile ; My heart races ; I have to put the phone down and calm down
S | taste | How much do shared hobbies matter when choosing a date? | I prefer different hobbies ; Not at all ; They are a nice bonus ; I only date people who share my hobbies
# score batch B
S | personality | How do you usually end a date you enjoyed? | I say goodbye and wait to see what happens ; I say I had a good time ; I say I would like to see them again ; I ask them out again on the spot
S | taste | How do you react when a match's photos are all selfies? | I swipe left right away ; I hesitate but read the bio ; I do not notice ; I like seeing their face clearly
S | values | How should you respond to someone who is not your type but asks you out kindly? | Say no without hesitation ; Say no but thank them warmly ; Go on one date to see ; Say yes gladly
S | personality | How do you handle waiting for a reply from someone you like? | I forget about it and get on with my day ; I check my phone now and then ; I check my phone every few minutes ; I cannot focus on anything else until they reply
S | taste | How would you feel if a date took you to their favorite restaurant? | Bored, I prefer somewhere new to both of us ; Fine either way ; Pleased to see something they love ; Thrilled, it feels personal
S | values | What should you do when your date asks to split a bill you expected them to cover? | Refuse to see them again ; Pay but feel annoyed ; Pay without a second thought ; Offer to pay the whole thing
S | personality | How do you behave on social media when you have a new crush? | I do not look at their profile ; I glance at their recent posts ; I scroll through their photos ; I look through years of their posts
S | taste | How do you feel when a date speaks a language you do not know on the phone during the date? | Annoyed that they took a call ; Curious but a little left out ; Not bothered ; Impressed
S | personality | How do you act if you realize you like someone more than they like you? | I pull back right away ; I keep things light and wait ; I keep showing interest ; I tell them how I feel anyway
S | values | How should you respond if someone you went on one date with asks why you did not text back? | Ignore the message ; Reply with a vague excuse ; Give a short honest reason ; Explain in detail and apologize
S | taste | What do you prefer on a first date when there is live music playing loudly? | I would leave to find a quieter place ; I would put up with it ; I would enjoy it but talk less ; I would love dancing instead of talking
S | personality | How do you act when you run into a crush unexpectedly? | I pretend I did not see them ; I wave and keep walking ; I stop and chat briefly ; I use it as a chance to ask them out
S | taste | How do you feel about a date who brings up future plans together on the first date? | It scares me off ; It makes me uneasy ; It amuses me ; I find it exciting
S | values | How much should you share about your dating life on social media? | Post nothing at all ; Post only once it is serious ; Post occasional hints ; Post freely from the start
S | personality | How do you typically respond when asked out by someone you are unsure about? | I say no to be safe ; I ask for time to think ; I say yes to a short coffee ; I say yes to a full date
S | taste | How do you feel about a date who asks lots of personal questions? | I feel interrogated and want to leave ; I find it a little much ; I appreciate their interest ; I love it and answer everything
S | values | How should you handle attraction to someone who is clearly taken? | Cut off contact ; Keep a friendly distance ; Stay friends as normal ; Hint at your feelings in case things change
S | personality | How do you act after a date cancels on you last minute? | I never reschedule ; I wait for them to suggest another time ; I suggest a new time myself ; I happily reschedule right away
S | taste | How appealing do you find someone who is always busy with plans? | It puts me off since they have no time ; It makes me a little wary ; It is a neutral trait ; It makes them more attractive
S | personality | How do you usually respond when a friend offers to set you up? | I say no before hearing about them ; I ask for details then usually decline ; I usually agree to one meeting ; I say yes without asking questions
S | taste | How do you feel about a date who cries during a sad movie with you? | It would make me uncomfortable ; I would not mind ; I would find it sweet ; I would find it very attractive
S | personality | What do you do if you get no reply after sending a message to a match? | I unmatch right away ; I wait and forget about it ; I send one more message later ; I keep sending messages until they answer
S | taste | How much do you like a date who shows off their knowledge? | I find it a turn-off ; I tolerate it if it is short ; I find it interesting ; I find it very attractive
S | values | How far should you go to make a good first impression on a date? | Just be yourself as you are on any day ; Dress nicely and be on time ; Pick a great venue and prepare topics ; Act like the person you think they want
S | personality | How do you react when your date is clearly more attractive than you? | I feel too intimidated to enjoy it ; I feel a bit self-conscious ; I barely think about it ; I feel lucky and confident
S | taste | How do you feel about a date who is very into fitness? | It would put me off ; It would make me feel a little pressured ; It does not matter to me ; I find it very attractive
S | values | How should dating app matches be handled when you have no interest in them? | Leave them without doing anything ; Unmatch quietly ; Send a short no thanks message then unmatch ; Always explain why before unmatching
S | personality | How do you behave when you see a crush with someone else at a party? | I leave the party ; I keep away from them ; I act as normal ; I go over and join them
S | taste | How much do you like dates that involve meeting a group of their friends? | I would decline ; I would go but feel on edge ; I would be fine ; I would love it
S | social | How would most people react if a date took a phone call in the middle of dinner? | Most would leave ; Most would be annoyed but stay ; Most would not care much ; Most would think it is normal
S | social | How would most people feel about being asked out by a stranger at the grocery store? | Most would feel creeped out ; Most would feel awkward ; Most would feel flattered ; Most would say yes
S | social | How would most people view a first date at someone's home? | Most would refuse ; Most would feel uneasy ; Most would think it is fine ; Most would prefer it
S | social | How would most people judge someone who asks their date's zodiac sign? | Most would find it a turn-off ; Most would roll their eyes ; Most would not mind ; Most would find it fun
S | social | How would most people react if a date showed up with flowers for a coffee meeting? | Most would find it too much ; Most would feel awkward ; Most would find it sweet ; Most would be charmed
S | taste | How do you feel about a date who is a vegetarian when you are not? | It would stop me from dating them ; It would be a small worry ; It would not matter ; I would find it interesting
S | personality | How do you handle a date who is rude to you? | I say nothing and suffer through it ; I become cold and short ; I call it out politely ; I leave immediately
S | taste | How do you react when a date lights up talking about books they love? | I tune out and change the subject ; I listen politely but it does nothing for me ; I ask what they are reading now ; I leave wanting a second date because of it
S | personality | How confident are you that you know what you want in a partner? | I have no idea ; I have a vague sense ; I know most of what I want ; I could write a precise list
S | taste | How do you feel about a date who talks a lot about their pet? | I find it tiresome ; I tolerate it ; I enjoy it ; I love it
S | personality | How easily do you feel chemistry with new people? | I rarely ever feel it ; I feel it with a few people ; I feel it with many people ; I feel it with almost everyone
S | taste | How do you react when a date turns out to be a great dancer? | It makes no difference to me ; I enjoy watching but stay seated ; I let them pull me onto the dance floor ; It becomes the moment I start falling for them
S | values | What is the right way to handle a date who is kind but boring? | End it after the first date ; Give it one more date ; Give it several dates ; Keep dating since kindness matters most
S | taste | How appealing is dating someone who lives in another city? | I would never try it ; I would only if they planned to move ; I would try for a while ; I would love the adventure
S | personality | How much do you enjoy being the center of attention on a date? | I hate it ; I tolerate it briefly ; I enjoy it now and then ; I love it
S | taste | How do you feel about dates planned around a sports game? | I would say no ; I would go but be bored ; I would enjoy it ; I would love it
S | personality | How do you feel when a date wants to meet your friends early on? | I feel pressured and back away ; I feel a bit uneasy ; I feel pleased ; I feel thrilled
S | taste | How much do you like a date who is very spontaneous? | It stresses me out ; It is fine now and then ; I enjoy it ; I love it
S | values | How acceptable is it to date two people from the same friend group? | It is never okay ; It is okay only one after another with time between ; It is okay if everyone knows ; It is completely fine
S | personality | How much does rejection from a crush affect you? | I forget about it the same day ; I feel sad for a day or two ; I feel down for weeks ; It shakes my confidence for months
S | taste | How appealing is a date who is extremely tidy? | It seems rigid to me ; It is fine ; It is a plus ; It is a big turn-on
S | values | How much should a date's relationship with their family matter? | Not at all ; Only if it affects us ; Quite a bit ; It is one of the most important things
S | personality | How do you usually decide what to wear on a first date? | I wear whatever I have on ; I pick something clean and nice ; I try on a few outfits ; I buy something new
# noul batch
N | personality | Have you ever asked someone out in person?
N | personality | Have you ever been on a blind date?
N | personality | Have you ever ghosted someone after a date?
N | personality | Have you ever been ghosted by someone you liked?
N | values | Is it okay to go on a date just to avoid being lonely?
N | values | Is it fine to use an old photo on your dating profile if you still look similar?
N | taste | Would you date someone who has never had a partner before?
N | taste | Would you date someone who works night shifts?
N | values | Is it okay to date your best friend's sibling?
N | values | Is it okay to date a friend's ex after some time has passed?
N | taste | Would you go on a date with someone who is much shorter than you?
N | values | Should you tell a date you are also seeing other people?
N | taste | Would you date someone who does not like animals?
N | taste | Would you date someone with very different taste in food?
N | values | Is it acceptable to ask someone out who is in a group of friends at a bar?
N | personality | Do you believe you have a soulmate?
N | values | Is it okay to reject someone because of their job?
N | taste | Would you date someone who is a big gamer?
N | taste | Would you date someone who is always on their phone?
N | values | Is it rude to check your phone on a first date?
N | personality | Have you ever fallen for someone you met while traveling?
N | values | Is it okay to flirt with a server or bartender?
N | taste | Do you find confidence more attractive than good looks?
N | taste | Would you date someone who is shy?
N | values | Is it fine to go on a date with someone you are not attracted to just to be nice?
N | personality | Have you ever had a crush on a teacher or boss?
N | values | Should you date someone your parents dislike?
N | taste | Would you date someone who has a very different daily schedule from yours?
N | taste | Would you go on a date with someone you met in a video game?
N | values | Is it okay to say you are busy instead of admitting you are not interested?
N | personality | Do you tend to go after people who are hard to get?
N | taste | Do you find it attractive when someone is a little mysterious?
N | values | Should a date offer to pay even if they did the asking?
N | values | Is it okay to ask a date how much they earn?
N | taste | Would you date someone who does not want to travel?
N | personality | Have you ever pretended to like something to impress a date?
N | taste | Would you date someone who is much more outgoing than you?
N | taste | Would you date someone who does not like your favorite hobby?
N | social | Would most people say dating apps are the easiest way to meet someone?
N | social | Would most people say it is fine for a woman to ask a man out?
N | social | Would most people say ghosting is worse than an awkward rejection?
N | social | Would most people say first impressions are usually right?
N | social | Would most people say it is creepy to message someone you found on social media?
N | social | Would most people say that confidence is the most attractive trait?
N | social | Would most people say it is rude to leave a date early?
N | social | Would most people say that dating is harder now than it used to be?
N | social | Would most people say that friends make the best matchmakers?
N | values | Is it okay to ask for a second date right at the end of the first?
N | taste | Would you go on a date at a place you have been with an ex?
N | personality | Do you get nervous around people you find attractive?
N | values | Is it okay to have a checklist of traits for a partner?
N | taste | Would you date someone who has very different fashion sense from yours?
N | values | Should you date someone who is still close friends with their ex?
N | personality | Have you ever used a dating app just for an ego boost?
N | taste | Would you date someone who is a lot messier than you?
N | values | Is it okay to ask a mutual friend whether your crush likes you?
N | taste | Would you date someone who has a very loud laugh?
N | values | Is it okay to end a first date early if there is no spark?
N | taste | Would you enjoy a date that involves meeting their dog first?
N | values | Is it okay to invite a date to a family event early on?
N | personality | Have you ever asked a friend to call you with a fake emergency during a date?
N | taste | Would you date someone who does not use any social media?
N | values | Should dating apps require identity checks?
N | personality | Do you prefer being asked out over doing the asking?
N | taste | Would you date someone who is always late?
N | values | Is it okay to flirt with someone while you are dating someone else casually?
N | personality | Have you ever dated someone mainly because of their looks?
N | taste | Would you date someone with a very different religion from yours?
N | values | Should you tell a crush how you feel before they move away?
N | taste | Do you like dating profiles that include a lot of details?
N | personality | Do you stay in touch with people you went on a few dates with?
N | values | Is it okay to go on dates while still getting over a breakup?
N | taste | Would you date someone who wants to live in a completely different part of the world?
N | personality | Have you ever been on a date you knew was a mistake from the start?
N | values | Is it okay to ask a coworker's friend out?
N | taste | Do you find it attractive when someone knows a lot about wine or food?
N | personality | Do you get bored quickly once someone shows they like you?
N | values | Is it okay to reject someone because of their height?
N | taste | Would you date someone who is very competitive?
N | values | Should people wait for a crush to become single?
N | personality | Have you ever confessed feelings to a crush in writing?
N | taste | Would you date someone who does not drink coffee or tea?
N | social | Would most people say love at first sight is just attraction at first sight?
N | values | Is it okay to keep a dating profile active after the first date goes well?
N | taste | Would you go on a date that starts early in the morning?
N | personality | Have you ever tried speed dating?
N | taste | Would you date someone who shares your exact first name?
# extra batch
S | values | What kind of first date is appropriate to spend on? | A walk or anything free ; Coffee or a single drink ; A casual dinner ; An expensive dinner or show
S | social | How would most people describe the role of photos on dating apps? | Most would say photos barely affect who they match with ; Most would say photos matter as much as the bio ; Most would say photos decide most swipes ; Most would say they never read bios at all
C | values | How should you handle a situationship that has gone on for months without a label? | ask_what_this_is ; keep_enjoying_it ; slowly_pull_away ; end_it ; start_seeing_other_people
C | taste | Which meeting story would you most like to tell about how you met a partner? | met_by_chance_in_public ; set_up_by_friends ; childhood_friends ; met_while_traveling ; swiped_right ; met_at_a_class
S | personality | How do you behave in the early weeks of seeing someone new? | I keep my usual life and see them rarely ; I see them once a week or so ; I see them several times a week ; I spend nearly every free moment with them
N | values | Is it okay to go on a date with someone you met at a funeral?
C | values | What is the right thing to do if a date reveals a dealbreaker partway through the evening? | finish_the_date_kindly ; tell_them_honestly_then_leave ; leave_early_with_an_excuse ; ignore_it_for_tonight
C | taste | Which dealbreaker matters most to you? | wants_different_things_about_kids ; smokes ; rude_to_others ; no_ambition ; poor_hygiene ; lives_far_away ; very_different_values
S | taste | How much would a date's loud chewing bother you? | I would not notice ; I would notice but let it go ; It would make me less keen ; I would not see them again
N | personality | Have you ever gone on a date with someone a friend set you up with?
C | social | Which dating app behavior would most people say is the most common? | swiping_while_bored ; matching_but_never_messaging ; messaging_but_never_meeting ; using_it_for_compliments ; actually_going_on_dates
S | values | How acceptable is it to break a date's heart gently by text after two dates? | Never, it must be done in person ; Only if a call is not possible ; Text is fine after a couple of dates ; Text is fine at any stage of early dating
C | personality | When a date goes badly, how do you usually tell the story afterward? | laugh_about_it_with_friends ; keep_it_to_myself ; complain_about_it ; wonder_what_went_wrong
N | taste | Do you enjoy the thrill of a crush more than actually dating?
S | personality | How do you usually respond when a match asks to video call before meeting? | I refuse and suggest just meeting ; I agree but feel awkward ; I am happy to do it ; I ask for a video call myself before any date
C | values | What is the best way to meet someone without dating apps? | join_a_club_or_class ; ask_friends_to_introduce_you ; go_to_parties ; volunteer ; talk_to_strangers_more ; attend_singles_events
N | values | Is it fine to date someone you met through work training or a conference?
C | taste | What quality makes a first kiss go well? | right_timing ; asking_first ; confidence ; the_setting ; mutual_nervousness
S | social | How would most people react if their date asked to be exclusive after the first date? | Most would run ; Most would feel uneasy ; Most would feel flattered but unsure ; Most would say yes happily
N | social | Would most people say it is okay to date a friend's ex?
C | taste | What kind of first date lets you relax the most? | activity_with_something_to_do ; sit_down_talk ; walk_and_talk ; group_setting ; home_cooked_meal
S | taste | How much does someone's handwriting or texting style affect your attraction? | Not at all, I never think about it ; I notice odd habits but move on ; A charming style makes me like them more ; The wrong style can end my interest
C | values | What should you do if you are asked out by someone you have turned down before? | say_no_again_firmly ; reconsider_now ; say_yes_if_you_changed_your_mind ; avoid_them
N | personality | Have you ever had a crush that lasted for years?
